"","GENE_ID","LUSC1","LUSC2","LUSC3","LUSC4","LUSC5","LUSC6","NORM1","NORM2","NORM3"
"45683","ENSG00000258476.4",1,2,3,5,4,2,5,4,54
"45684","ENSG00000258477.1",4,2,0,10,7,7,9,10,3
"45685","ENSG00000258478.1",0,0,1,1,0,0,0,0,0
"45686","ENSG00000258479.4",55,4,32,66,63,24,8,9,14
"45687","ENSG00000258480.1",0,2,0,1,0,0,0,0,1
"45688","ENSG00000258481.1",0,0,0,0,0,0,0,0,0
"45689","ENSG00000258482.1",0,0,0,0,0,0,0,0,0
"45690","ENSG00000258483.2",0,4,2,1,0,1,0,1,0
"45691","ENSG00000258484.3",1,18,27,19,3,52,60,54,72
"45692","ENSG00000258485.2",0,1,1,3,3,3,0,0,0
"45693","ENSG00000258486.3",0,0,0,0,0,0,0,1,0
"45694","ENSG00000258487.1",0,0,0,0,0,0,0,0,1
"45695","ENSG00000258488.2",0,1,1,0,0,0,0,0,0
"45696","ENSG00000258489.3",0,0,0,2,0,0,0,0,0
"45697","ENSG00000258490.1",0,0,0,0,0,0,1,2,0
"45698","ENSG00000258491.2",0,0,0,0,0,0,0,0,1
"45699","ENSG00000258493.2",0,0,0,0,0,0,1,0,0
"45700","ENSG00000258494.1",0,0,0,0,0,0,0,0,0
"45701","ENSG00000258496.1",0,0,0,0,0,0,0,0,0
"45702","ENSG00000258497.1",0,0,0,0,0,0,0,0,0
"45703","ENSG00000258498.5",1,18,56,67,3,30,295,276,403
"45704","ENSG00000258499.1",1,1,1,0,1,0,0,1,0
"45705","ENSG00000258500.2",2,0,0,0,0,1,1,2,0
"45706","ENSG00000258501.1",1,0,0,0,1,3,1,3,1
"45707","ENSG00000258502.4",0,0,0,0,0,2,0,0,0
"45708","ENSG00000258503.1",0,0,0,1,0,2,0,0,0
"45709","ENSG00000258504.2",0,0,0,0,0,0,0,0,0
"45710","ENSG00000258505.1",0,0,0,0,1,0,0,0,0
"45711","ENSG00000258506.2",0,0,0,0,0,0,0,0,0
"45712","ENSG00000258507.1",0,0,0,0,0,0,0,0,0
"45713","ENSG00000258509.1",1,0,0,0,0,1,0,0,0
"45714","ENSG00000258510.2",0,1,0,0,1,0,0,1,0
"45715","ENSG00000258511.1",3,0,0,2,1,0,0,1,0
"45716","ENSG00000258512.1",9,40,22,40,12,21,25,115,97
"45717","ENSG00000258513.1",0,0,0,0,1,2,0,1,0
"45718","ENSG00000258515.1",8,12,10,27,12,9,2,17,22
"45719","ENSG00000258516.1",0,0,0,0,0,0,0,0,0
"45720","ENSG00000258517.1",0,0,0,0,0,0,0,3,0
"45721","ENSG00000258519.1",0,0,0,0,0,0,0,0,0
"45722","ENSG00000258520.1",7,8,5,1,3,0,4,4,8
"45723","ENSG00000258521.1",5,10,13,20,7,7,8,11,65
"45724","ENSG00000258524.1",1,0,2,1,4,0,1,7,7
"45725","ENSG00000258525.1",35,27,8,39,6,10,2,1,2
"45726","ENSG00000258526.4",4,2,2,10,9,8,3,2,0
"45727","ENSG00000258527.1",1,7,4,8,8,2,6,4,20
